"id","zipcode","city","combi","agent_id","agent_name","agent_phone","agency_name","agency_address"
1,1000,"Lausanne","1000 Lausanne","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
2,1000,"Le Chalet-Á-Gobet","1000 Le Chalet-Á-Gobet","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
3,1000,"Montblesson","1000 Montblesson","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
4,1000,"Vers-ch.-l.-Blanc","1000 Vers-ch.-l.-Blanc","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
5,1003,"Lausanne","1003 Lausanne","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
6,1004,"Lausanne","1004 Lausanne","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
7,1005,"Lausanne","1005 Lausanne","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
8,1006,"Lausanne","1006 Lausanne","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
9,1007,"Lausanne","1007 Lausanne","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
10,1008,"Jouxtens-Mézery","1008 Jouxtens-Mézery","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
11,1008,"Prilly","1008 Prilly","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
12,1009,"Pully","1009 Pully","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
13,1010,"Lausanne","1010 Lausanne","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
14,1011,"Lausanne","1011 Lausanne","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
15,1012,"Lausanne","1012 Lausanne","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
16,1015,"Lausanne","1015 Lausanne","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
17,1018,"Lausanne","1018 Lausanne","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
18,1020,"Renens VD","1020 Renens VD","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
19,1022,"Chavannes-Renens","1022 Chavannes-Renens","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
20,1023,"Crissier","1023 Crissier","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
21,1024,"Ecublens VD","1024 Ecublens VD","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
22,1025,"St-Sulpice VD","1025 St-Sulpice VD","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
23,1026,"Denges","1026 Denges","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
24,1026,"Echandens","1026 Echandens","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
25,1027,"Lonay","1027 Lonay","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
26,1028,"Préverenges","1028 Préverenges","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
27,1029,"Villars-Ste-Croix","1029 Villars-Ste-Croix","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
28,1030,"Bussigny","1030 Bussigny","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
29,1031,"Mex VD","1031 Mex VD","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
30,1032,"Romanel-s-Lausanne","1032 Romanel-s-Lausanne","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
31,1033,"Cheseaux-Lausanne","1033 Cheseaux-Lausanne","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
32,1034,"Boussens","1034 Boussens","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
33,1035,"Bournens","1035 Bournens","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
34,1036,"Sullens","1036 Sullens","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
35,1037,"EtagniÁres","1037 EtagniÁres","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
36,1038,"Bercher","1038 Bercher","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
37,1040,"Echallens","1040 Echallens","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
38,1040,"St-Barthélemy VD","1040 St-Barthélemy VD","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
39,1040,"Villars-le-Terroir","1040 Villars-le-Terroir","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
40,1041,"Bottens","1041 Bottens","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
41,1041,"Dommartin","1041 Dommartin","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
42,1041,"Montaubion-Chardon","1041 Montaubion-Chardon","agentuser1","Thierry Zenker","021 637 67 70","Western regional agency","Chemin des Aubépines 17-5, 1004 Lausanne"
